raman_shift_cm^-1,intensity_raw,baseline_true,true_glucose_mg_dl
400,0.2099342830602246,0.2,150.0
402,0.196577157187481,0.1993424432109047,150.0
404,0.2116568720130207,0.1987031012510069,150.0
406,0.2285425638779941,0.1980819667498336,150.0
408,0.1927959648669724,0.1974790323614391,150.0
410,0.1922115516253399,0.1968942907643235,150.0
412,0.2279119909714989,0.1963277346613511,150.0
414,0.2111280513627277,0.1957793567796695,150.0
416,0.18585966215193,0.195249149870629,150.0
418,0.2055883075814209,0.1947371067097016,150.0
420,0.1849748662401519,0.1942432200964012,150.0
422,0.1844528877827979,0.1937674828542031,150.0
424,0.1981491332617853,0.1933098878304646,150.0
426,0.1546048230031897,0.1928704278963457,150.0
428,0.1579507392964686,0.1924490959467293,150.0
430,0.1808001343153233,0.1920458849001428,150.0
432,0.1714041652919906,0.1916607876986791,150.0
434,0.1975787439598238,0.1912937973079183,150.0
436,0.1727844252064255,0.1909449067168497,150.0
438,0.1623680349110877,0.1906141089377935,150.0
440,0.2196143723847546,0.1903013970063235,150.0
442,0.1854912379714589,0.1900067639811896,150.0
444,0.1910807670379991,0.1897302029442407,150.0
446,0.1609767432760785,0.1894717070003477,150.0
448,0.1783436147868235,0.1892312692773271,150.0
450,0.191227334720062,0.1890088829258646,150.0
452,0.1657846695709928,0.1888045411194388,150.0
454,0.1961321974211591,0.1886182370542456,150.0
456,0.1764371901507463,0.1884499639491224,150.0
458,0.1824658400496074,0.1882997150454729,150.0
460,0.176133351362604,0.1881674836071919,150.0
462,0.2250988266107693,0.1880532629205906,150.0
464,0.1876871017995631,0.1879570462943217,150.0
466,0.1667246084801876,0.1878788270593056,150.0
468,0.2042694968107195,0.1878185985686557,150.0
470,0.1633594811981843,0.1877763541976047,150.0
472,0.1919293592435266,0.1877520873434315,150.0
474,0.1485523889477915,0.187745791425387,150.0
476,0.161193738906653,0.1877574598846216,150.0
478,0.1917243109014947,0.1877870861841122,150.0
480,0.2026039954084977,0.1878346638085895,150.0
482,0.1913275518882647,0.1879001862644653,150.0
484,0.1856706814319963,0.1879836470797611,150.0
486,0.1820629658922497,0.1880850398040355,150.0
488,0.1586339182009642,0.1882043580083128,150.0
490,0.1739447111171174,0.1883415952850115,150.0
492,0.1792839698286776,0.1884967452478733,150.0
494,0.2098122460562702,0.1886698015318919,150.0
496,0.1957331235846115,0.1888607577932423,150.0
498,0.1538088046019557,0.1890696077092103,150.0
500,0.1957780243660187,0.1892963449781228,150.0
502,0.1818393177109503,0.1895409633192767,150.0
504,0.1762650164667509,0.1898034564728701,150.0
506,0.2023173439767496,0.1900838181999323,150.0
508,0.2110020327321734,0.1903820422822544,150.0
510,0.2093237249046445,0.1906981225223205,150.0
512,0.174247702278786,0.1910320527432387,150.0
514,0.1851995792716481,0.1913838267886724,150.0
516,0.1983787071508433,0.191753438522772,150.0
518,0.2116517843725538,0.1921408818301067,150.0
520,0.1829626658586906,0.1925461506155963,150.0
522,0.1892560592711678,0.1929692388044441,150.0
524,0.1712834408619483,0.1934101403420688,150.0
526,0.169944716712424,0.1938688491940374,150.0
528,0.2105958757938822,0.1943453593459982,150.0
530,0.2219644653750305,0.1948396648036141,150.0
532,0.193911557160889,0.1953517595924957,150.0
534,0.2159522957159756,0.1958816377581351,150.0
536,0.2036620138667925,0.1964292933658399,150.0
538,0.1840923254085643,0.1969947205006668,150.0
540,0.2048058253775246,0.1975779132673563,150.0
542,0.2289395971195865,0.1981788657902671,150.0
544,0.1980810514311116,0.1987975722133106,150.0
546,0.2307268998161664,0.1994340266998863,150.0
548,0.1476933213510213,0.2000882234328162,150.0
550,0.2171982067017854,0.2007601566142809,150.0
552,0.2031907618305184,0.201449820465755,150.0
554,0.1961770622186252,0.2021572092279425,150.0
556,0.2047175326914233,0.2028823171607132,150.0
558,0.1638737602510211,0.203625138543039,150.0
560,0.1999922299161795,0.2043856676729297,150.0
562,0.2123061502976055,0.2051638988673706,150.0
564,0.2355177073570889,0.2059598264622586,150.0
566,0.1964080404468664,0.2067734448123394,150.0
568,0.1914348762332813,0.2076047482911451,150.0
570,0.1984185904192406,0.2084537312909314,150.0
572,0.2276284305766567,0.2093203882226152,150.0
574,0.2167797357089067,0.210204713515713,150.0
576,0.2005114975429376,0.2111067016182784,150.0
578,0.2222916956591078,0.2120263469968407,150.0
580,0.2149051951233044,0.2129636441363435,150.0
582,0.2332914873507411,0.2139185875400833,150.0
584,0.2008501098521013,0.2148911717296483,150.0
586,0.2093281483129025,0.2158813912448579,150.0
588,0.2090470775810583,0.2168892406437015,150.0
590,0.1886444155396362,0.2179147145022786,150.0
592,0.2248802129560297,0.2189578074147382,150.0
594,0.2252396194368165,0.2200185139932187,150.0
596,0.2211990980006376,0.2210968288677884,150.0
598,0.2175010040188822,0.2221927466863852,150.0
600,0.1949988472737495,0.2233062621147578,150.0
602,0.2160244633810989,0.2244373698364061,150.0
604,0.2187317742219865,0.2255860645525219,150.0
606,0.2107067955974983,0.2267523409819307,150.0
608,0.2247104796277121,0.2279361938610322,150.0
610,0.2372186350800334,0.2291376179437426,150.0
612,0.2680803260256463,0.2303566080014357,150.0
614,0.2350847150795219,0.2315931588228851,150.0
616,0.2379982730286614,0.2328472652142061,150.0
618,0.2326300036834751,0.2341189219987985,150.0
620,0.1970326997113075,0.2354081240172883,150.0
622,0.2361845886184865,0.2367148661274709,150.0
624,0.2392437474030745,0.238039143204254,150.0
626,0.288645792389306,0.2393809501396003,150.0
628,0.2368930625468487,0.2407402818424711,150.0
630,0.2481480800854417,0.2421171332387695,150.0
632,0.2428172638771793,0.2435114992712842,150.0
634,0.2215498141472422,0.2449233748996329,150.0
636,0.2692092113905074,0.246352755100207,150.0
638,0.2628382955198506,0.2477996348661151,150.0
640,0.2650846481479887,0.2492640092071278,150.0
642,0.2325581240537274,0.2507458731496221,150.0
644,0.280301107955248,0.2522452217365261,150.0
646,0.2257250287714182,0.2537620500272639,150.0
648,0.2670334949737062,0.2552963530977008,150.0
650,0.3006572385562883,0.2568481260400888,150.0
652,0.2386066374603976,0.2584173639630113,150.0
654,0.2486781073992745,0.2600040619913299,150.0
656,0.263601242567882,0.2616082152661292,150.0
658,0.2531603058623393,0.2632298189446633,150.0
660,0.2338555995789793,0.264868868200302,150.0
662,0.2678966177185974,0.2665253582224768,150.0
664,0.2469532099421061,0.2681992842166282,150.0
666,0.2793624900168553,0.2698906414041517,150.0
668,0.2532109403376688,0.2715994250223449,150.0
670,0.3043243184247054,0.2733256303243546,150.0
672,0.2594041867323998,0.2750692525791245,150.0
674,0.2703890567472282,0.2768302870713417,150.0
676,0.2948790734487785,0.2786087291013852,150.0
678,0.2557872876565941,0.2804045739852732,150.0
680,0.2867670157466938,0.2822178170546112,150.0
682,0.3101913087421887,0.2840484536565402,150.0
684,0.25374681446246,0.2858964791536846,150.0
686,0.2914545660947474,0.2877618889241013,150.0
688,0.2948423342461966,0.2896446783612281,150.0
690,0.3071813003093783,0.2915448428738321,150.0
692,0.2687233636683976,0.2934623778859592,150.0
694,0.2689881465751977,0.2953972788368832,150.0
696,0.3077883724933927,0.2973495411810548,150.0
698,0.3052588538527151,0.2993191603880514,150.0
700,0.3063159889494442,0.3013061319425267,150.0
702,0.3102394155340999,0.3033104513441604,150.0
704,0.2917316196760388,0.3053321141076086,150.0
706,0.3120161897056732,0.3073711157624532,150.0
708,0.3152889013191265,0.3094274518531529,150.0
710,0.2972140895784663,0.3115011179389936,150.0
712,0.350907599816934,0.3135921095940388,150.0
714,0.3251770808253164,0.3157004224070806,150.0
716,0.2939999820375376,0.3178260519815906,150.0
718,0.3331000661083476,0.319968993935671,150.0
720,0.3026356104974599,0.3221292439020063,150.0
722,0.3400484896026634,0.3243067975278143,150.0
724,0.349673562054946,0.3265016504747979,150.0
726,0.3123001520520628,0.328713798419097,150.0
728,0.3502107596361266,0.3309432370512402,150.0
730,0.3414455806148272,0.3331899620760973,150.0
732,0.3518951724127211,0.3354539692128313,150.0
734,0.3756711138479298,0.3377352541948508,150.0
736,0.3351260504497055,0.3400338127697629,150.0
738,0.3272749174121758,0.3423496406993256,150.0
740,0.3268924451668902,0.3446827337594007,150.0
742,0.3307168820405987,0.3470330877399074,150.0
744,0.3478586642564927,0.3494006984447748,150.0
746,0.3586086011882287,0.3517855616918958,150.0
748,0.3597214892996807,0.3541876733130804,150.0
750,0.3731506941347299,0.3566070291540094,150.0
752,0.3593036629117465,0.3590436250741883,150.0
754,0.3905681384900477,0.3614974569469014,150.0
756,0.3586753839944064,0.3639685206591656,150.0
758,0.4208601954434773,0.3664568121116849,150.0
760,0.3814756741741054,0.3689623272188053,150.0
762,0.3543419107801427,0.3714850619084683,150.0
764,0.3526071621609448,0.374025012122167,150.0
766,0.3862316221197636,0.3765821738148999,150.0
768,0.3746872872486095,0.3791565429551266,150.0
770,0.3960281254065644,0.3817481155247225,150.0
772,0.3938216400104058,0.3843568875189349,150.0
774,0.3855262766932002,0.3869828549463376,150.0
776,0.3726901394674194,0.3896260138287875,150.0
778,0.3619894157076621,0.3922863602013794,150.0
780,0.3860335910710624,0.3949638901124028,150.0
782,0.4147865755097668,0.3976585996232973,150.0
784,0.4046523596912137,0.4003704848086097,150.0
786,0.3781847661817095,0.4030995417559493,150.0
788,0.409309385082969,0.4058457665659453,150.0
790,0.4163155029467799,0.4086091553522032,150.0
792,0.3937125555172387,0.4113897042412613,150.0
794,0.4172619114914589,0.4141874093725483,150.0
796,0.4181664412672598,0.4170022668983398,150.0
798,0.3969748670271034,0.4198342729837159,150.0
800,0.429839171013484,0.4226834238065184,150.0
802,0.4367654060846732,0.4255497155573084,150.0
804,0.4500941693028298,0.4284331444393243,150.0
806,0.4524097477091369,0.4313337066684389,150.0
808,0.4066980111139761,0.4342513984731179,150.0
810,0.4184297152960755,0.4371862160943779,150.0
812,0.4504388611299179,0.4401381557857446,150.0
814,0.4533829328314553,0.4431072138132111,150.0
816,0.4563943401813173,0.4460933864551964,150.0
818,0.5261512998155987,0.4490966700025043,150.0
820,0.4635348709721453,0.4521170607582819,150.0
822,0.4778658678415905,0.4551545550379785,150.0
824,0.4772891844391692,0.4582091491693051,150.0
826,0.4743086645183089,0.461280839492193,150.0
828,0.4580642374659466,0.4643696223587535,150.0
830,0.4826548785431027,0.4674754941332374,150.0
832,0.4551419469012428,0.4705984511919943,150.0
834,0.4690021177886325,0.4737384899234327,150.0
836,0.4671883357713974,0.4768956067279795,150.0
838,0.4817072808057669,0.4800697980180404,150.0
840,0.5295542315514301,0.4832610602179599,150.0
842,0.449124085912146,0.486469389763981,150.0
844,0.5034199869116971,0.4896947831042068,150.0
846,0.4606829192747669,0.49293723669856,150.0
848,0.4867581097029551,0.4961967470187437,150.0
850,0.5212523224875503,0.4994733105482029,150.0
852,0.5040525241639938,0.5027669237820845,150.0
854,0.484522687668613,0.5060775832271992,150.0
856,0.4950992112167824,0.5094052854019818,150.0
858,0.5263419818151469,0.5127500268364534,150.0
860,0.5015044714378395,0.5161118040721823,150.0
862,0.5238197854538851,0.5194906136622456,150.0
864,0.5237978889692675,0.5228864521711912,150.0
866,0.513267309222883,0.5262993161749994,150.0
